iter	Passed	Remaining
406	5202	7580
407	5214	7566
408	5225	7550
409	5235	7533
410	5246	7519
411	5256	7502
412	5266	7485
413	5281	7476
414	5294	7463
415	5312	7458
416	5326	7446
417	5337	7431
418	5347	7415
419	5362	7405
420	5376	7394
421	5387	7379
422	5398	7363
423	5410	7349
424	5420	7333
425	5432	7319
426	5443	7304
427	5454	7289
428	5467	7277
429	5477	7261
430	5489	7246
431	5500	7231
432	5510	7215
433	5521	7201
434	5533	7186
435	5543	7170
436	5553	7154
437	5564	7140
438	5575	7124
439	5584	7106
440	5597	7095
441	5611	7084
442	5623	7071
443	5638	7061
444	5653	7051
445	5663	7034
446	5674	7020
447	5683	7003
448	5695	6988
449	5708	6976
450	5719	6962
451	5729	6946
452	5739	6930
453	5752	6917
454	5762	6902
455	5774	6888
456	5785	6874
457	5794	6857
458	5806	6844
459	5817	6829
460	5827	6813
461	5841	6802
462	5853	6789
463	5870	6781
464	5882	6767
465	5891	6751
466	5902	6736
467	5915	6724
468	5925	6709
469	5936	6694
470	5947	6679
471	5959	6666
472	5968	6649
473	5978	6634
474	5990	6621
475	6001	6606
476	6012	6592
477	6026	6581
478	6038	6567
479	6047	6551
480	6058	6537
481	6069	6522
482	6080	6508
483	6091	6494
484	6102	6480
485	6113	6465
486	6125	6452
487	6135	6437
488	6145	6421
489	6161	6413
490	6173	6399
491	6185	6386
492	6195	6370
493	6206	6356
494	6219	6345
495	6234	6335
496	6246	6322
497	6256	6306
498	6270	6295
499	6283	6283
500	6293	6268
501	6302	6252
502	6318	6243
503	6330	6230
504	6341	6215
505	6351	6200
506	6363	6187
507	6373	6172
508	6382	6156
509	6395	6145
510	6407	6131
511	6417	6116
512	6434	6108
513	6447	6096
514	6458	6082
515	6468	6067
516	6478	6052
517	6489	6038
518	6502	6025
519	6512	6011
520	6524	5998
521	6535	5984
522	6544	5968
523	6559	5958
524	6571	5945
525	6585	5934
526	6595	5919
527	6609	5908
528	6620	5894
529	6632	5882
530	6642	5866
531	6655	5854
532	6670	5844
533	6683	5832
534	6694	5818
535	6704	5803
536	6720	5794
537	6734	5783
538	6749	5772
539	6760	5759
540	6770	5744
541	6783	5731
542	6798	5721
543	6812	5710
544	6825	5698
545	6839	5687
546	6850	5672
547	6861	5659
548	6876	5648
549	6888	5636
550	6898	5621
551	6913	5611
552	6925	5598
553	6936	5584
554	6946	5569
555	6956	5555
556	6968	5542
557	6977	5527
558	6990	5514
559	7002	5501
560	7012	5487
561	7022	5473
562	7037	5462
563	7051	5451
564	7067	5441
565	7081	5429
566	7092	5416
567	7102	5401
568	7117	5391
569	7131	5380
570	7147	5370
571	7159	5357
572	7170	5343
573	7181	5329
574	7196	5319
575	7210	5307
576	7223	5295
577	7232	5280
578	7244	5267
579	7255	5254
580	7265	5239
581	7278	5227
582	7306	5226
583	7332	5223
584	7359	5221
585	7379	5213
586	7400	5206
587	7415	5196
588	7425	5181
589	7440	5170
590	7452	5157
591	7467	5146
592	7481	5134
593	7491	5120
594	7502	5106
595	7514	5093
596	7524	5079
597	7536	5066
